author,likes,downloads,repo_count,date
NVIDIA,325,8523548,10,2025-12-10
agibot-world,253,423800,2,2025-12-10
behavior-1k,24,645523,1,2025-12-10
physical-intelligence,58,123172,2,2025-12-10
yaak-ai,48,206559,3,2025-12-10
Ai2,42,153934,4,2025-12-17
Hugging Face,239,1345093,64,2025-12-17
IPEC-COMMUNITY,45,7087570,10,2025-12-17
InternRobotics,270,448169,7,2025-12-17
NVIDIA,327,8886668,10,2025-12-17
RoboCOIN,1,351,1,2025-12-17
agibot-world,255,434407,2,2025-12-17
behavior-1k,26,690039,1,2025-12-17
physical-intelligence,58,128797,2,2025-12-17
yaak-ai,49,219225,3,2025-12-17
Ai2,42,155624,4,2025-12-24
Hugging Face,245,1378761,64,2025-12-24
IPEC-COMMUNITY,45,7163495,10,2025-12-24
InternRobotics,277,479987,7,2025-12-24
NVIDIA,329,9219871,10,2025-12-24
RoboCOIN,2,2405,2,2025-12-24
agibot-world,256,453445,2,2025-12-24
behavior-1k,26,714434,1,2025-12-24
physical-intelligence,61,136553,2,2025-12-24
yaak-ai,49,226438,3,2025-12-24
