industry,year,ai,all
"Architecture, Engineering, Construction, and Operations",2016,2076,251343
Automotive,2016,1893,66458
Energy,2016,9982,528438
Financial Services,2016,3903,153555
Government,2016,1375,256325
Healthcare and Life Sciences,2016,20225,2779078
Higher Education and Research,2016,39176,931687
Industrial,2016,2314,58588
Manufacturing,2016,4369,272857
Media and Entertainment,2016,12172,147587
Restaurants and Quick-Service,2016,0,9366
Retail and Consumer Packaged Goods,2016,996,59872
Robotics,2016,17620,86741
Semiconductor,2016,5712,193225
Telecommunications,2016,9126,142731
"Architecture, Engineering, Construction, and Operations",2017,2178,242080
Automotive,2017,2469,67185
Energy,2017,10374,505173
Financial Services,2017,4110,153435
Government,2017,1382,238118
Healthcare and Life Sciences,2017,21368,2440749
Higher Education and Research,2017,40801,903200
Industrial,2017,2266,58154
Manufacturing,2017,4475,263158
Media and Entertainment,2017,11980,136307
Restaurants and Quick-Service,2017,6,8403
Retail and Consumer Packaged Goods,2017,975,59060
Robotics,2017,16934,82282
Semiconductor,2017,6155,175220
Telecommunications,2017,8931,135056
"Architecture, Engineering, Construction, and Operations",2018,2320,252673
Automotive,2018,3483,74786
Energy,2018,11475,528171
Financial Services,2018,4911,158160
Government,2018,1504,239593
Healthcare and Life Sciences,2018,24752,2497792
Higher Education and Research,2018,43852,945040
Industrial,2018,2483,62570
Manufacturing,2018,4959,276919
Media and Entertainment,2018,13929,139596
Restaurants and Quick-Service,2018,6,7922
Retail and Consumer Packaged Goods,2018,1186,63165
Robotics,2018,18603,88427
Semiconductor,2018,6650,177659
Telecommunications,2018,9749,141115
"Architecture, Engineering, Construction, and Operations",2019,3027,266252
Automotive,2019,4848,81399
Energy,2019,12524,551634
Financial Services,2019,5789,168038
Government,2019,1750,249989
Healthcare and Life Sciences,2019,29920,2651107
Higher Education and Research,2019,49408,996726
Industrial,2019,2753,66538
Manufacturing,2019,5394,288783
Media and Entertainment,2019,15657,146131
Restaurants and Quick-Service,2019,1,7826
Retail and Consumer Packaged Goods,2019,1402,68530
Robotics,2019,19965,91897
Semiconductor,2019,7877,178603
