industry,year,ai,all
Restaurants and Quick-Service,2021,7,574
Retail and Consumer Packaged Goods,2021,605,10077
Robotics,2021,6083,17634
Semiconductor,2021,19977,64028
Telecommunications,2021,10530,49297
"Architecture, Engineering, Construction, and Operations",2022,361,13629
Automotive,2022,1011,17663
Energy,2022,549,31190
Financial Services,2022,1924,8410
Government,2022,45,591
Healthcare and Life Sciences,2022,1774,58744
Higher Education and Research,2022,153,1378
Industrial,2022,398,9397
Manufacturing,2022,3307,94815
Media and Entertainment,2022,4104,19970
Restaurants and Quick-Service,2022,20,684
Retail and Consumer Packaged Goods,2022,752,10645
Robotics,2022,8387,20337
Semiconductor,2022,21391,65640
Telecommunications,2022,12168,51801
"Architecture, Engineering, Construction, and Operations",2023,466,13337
Automotive,2023,1606,18704
Energy,2023,679,34071
Financial Services,2023,2309,8179
Government,2023,50,501
Healthcare and Life Sciences,2023,2280,57572
Higher Education and Research,2023,163,1222
Industrial,2023,459,8976
Manufacturing,2023,3691,91690
Media and Entertainment,2023,5384,19926
Restaurants and Quick-Service,2023,29,746
Retail and Consumer Packaged Goods,2023,856,9821
Robotics,2023,10069,21113
Semiconductor,2023,21193,63578
Telecommunications,2023,12742,50928
"Architecture, Engineering, Construction, and Operations",2024,549,12943
Automotive,2024,1846,18257
Energy,2024,703,36774
Financial Services,2024,2236,7733
Government,2024,47,452
Healthcare and Life Sciences,2024,2614,56351
Higher Education and Research,2024,195,1222
Industrial,2024,448,8928
Manufacturing,2024,3897,91258
Media and Entertainment,2024,5636,18864
Restaurants and Quick-Service,2024,27,708
Retail and Consumer Packaged Goods,2024,815,8989
Robotics,2024,11080,21585
Semiconductor,2024,20345,61256
Telecommunications,2024,13634,53432
"Architecture, Engineering, Construction, and Operations",2025,542,12676
Automotive,2025,1753,17383
Energy,2025,845,38460
Financial Services,2025,2272,7202
Government,2025,42,499
Healthcare and Life Sciences,2025,2686,55117
Higher Education and Research,2025,173,1156
Industrial,2025,440,8930
Manufacturing,2025,3655,91064
Media and Entertainment,2025,5348,18013
Restaurants and Quick-Service,2025,25,602
Retail and Consumer Packaged Goods,2025,797,8751
Robotics,2025,11677,21346
Semiconductor,2025,20448,60434
Telecommunications,2025,14273,53594
"Architecture, Engineering, Construction, and Operations",2026,262,6022
Automotive,2026,903,8362
Energy,2026,448,18602
