Name,Total Value,% of total,parent2,parent1,derived_author,merged_modality,total_downloads,color_code,color,org_color,country_color
jinaai/jina-clip-v1,11519157,0.2,Germany,jinaai,openai,Image + Text --> Image Embed/Class + Text,11519157.0,#0EA5E9,#0EA5E9,#0EA5E9,#33A02C
unsloth/Qwen3-30B-A3B-GGUF,11278031,0.2,United States of America,unsloth,Qwen,Text --> Text,11278031.0,#F97316,#F97316,#F97316,#1F78B4
stabilityai/stable-diffusion-3.5-medium,9832347,0.17,United Kingdom,stable-diffusion,stable-diffusion,Text --> Image,9832347.0,#8B5CF6,#8B5CF6,#8B5CF6,#6A3D9A
unslothai/colab,9732434,0.17,United States of America,unsloth,unsloth,Undocumented --> Undocumented,9732434.0,#F97316,#F97316,#F97316,#1F78B4
BAAI/bge-reranker-v2-m3,9328330,0.16,China,BAAI,BAAI,Text --> Text Embed/Class,9328330.0,#1D4ED8,#1D4ED8,#1D4ED8,#E31A1C
Comfy-Org/Lumina_Image_2.0_Repackaged,9005596,0.16,United States of America,comfy,comfy,Text --> Image,9005596.0,#9333EA,#9333EA,#9333EA,#1F78B4
mlx-community/gemma-3-12b-it-qat-4bit,8917940,0.16,International/Online,mlx-community,OpenGVLab,Image + Text --> Text,8917940.0,#111827,#111827,#111827,#B15928
meta-llama/Meta-Llama-3-8B,8711346,0.15,United States of America,facebook,facebook,Text --> Text,8711346.0,#1877F2,#1877F2,#1877F2,#1F78B4
microsoft/Florence-2-base,8640835,0.15,United States of America,microsoft,microsoft,Image + Text --> Image Embed/Class + Text,8640835.0,#737373,#737373,#737373,#1F78B4
BAAI/bge-m3,8632184,0.15,China,BAAI,BAAI,Text --> Text Embed/Class,8632184.0,#1D4ED8,#1D4ED8,#1D4ED8,#E31A1C
unsloth/DeepSeek-R1-0528-Qwen3-8B-GGUF,8588767,0.15,United States of America,unsloth,Qwen,Text --> Text,8588767.0,#F97316,#F97316,#F97316,#1F78B4
moonshotai/Kimi-K2-Instruct,8480945,0.15,user,moonshotai,moonshotai,Text --> Text,8480945.0,#9333EA,#9333EA,#9333EA,#999999
Snowflake/snowflake-arctic-embed-m,8421464,0.15,United States of America,Snowflake,intfloat,Text --> Text Embed/Class,8421464.0,#29B5E8,#29B5E8,#29B5E8,#1F78B4
nomic-ai/nomic-embed-text-v1.5,8404942,0.15,United States of America,nomic-ai,nomic-ai,Text --> Text Embed/Class,8404942.0,#111827,#111827,#111827,#1F78B4
BSC-LT/ALIA-40b,8156338,0.14,Spain,BSC-LT,BSC-LT,Text --> Text,8156338.0,#991B1B,#991B1B,#991B1B,#FDBF6F
deepseek-ai/Janus-Pro-7B,8099760,0.14,China,deepseek-ai,deepseek-ai,Image + Text --> Image + Text,8099760.0,#2563EB,#2563EB,#2563EB,#E31A1C
Comfy-Org/HunyuanVideo_repackaged,8023375,0.14,United States of America,comfy,comfy,Image + Text --> Video,8023375.0,#9333EA,#9333EA,#9333EA,#1F78B4
mlc-ai/Llama-3.2-1B-Instruct-q4f16_1-MLC,7835105,0.14,International/Online,mlc-ai,facebook,Text --> Text,7835105.0,#16A34A,#16A34A,#16A34A,#B15928
ByteDance/Hyper-SD,7767572,0.14,China,ByteDance,black-forest-labs,Text --> Image,7767572.0,#1E90FF,#1E90FF,#1E90FF,#E31A1C
Marqo/nsfw-image-detection-384,7602025,0.13,United States of America,Marqo,timm,Image --> Image Embed/Class,7602025.0,#2563EB,#2563EB,#2563EB,#1F78B4
mlx-community/Llama-3.2-3B-Instruct-4bit,7573907,0.13,International/Online,mlx-community,mlx-community,Text --> Text,7573907.0,#111827,#111827,#111827,#B15928
lmstudio-community/gemma-3n-E4B-it-MLX-4bit,7378765,0.13,International/Online,lmstudio-community,google,Audio + Image + Text + Video --> Text,7378765.0,#22C55E,#22C55E,#22C55E,#B15928
amazon/chronos-t5-tiny,7377856,0.13,United States of America,amazon,amazon,Tabular --> Tabular,7377856.0,#FF9900,#FF9900,#FF9900,#1F78B4
