year,label,parent,count,color,id,parent_id
2024,Feature Extraction,Natural Language Processing,4033,#e04040,Feature Extraction_2024,Natural Language Processing_2024
2024,Fill-Mask,Natural Language Processing,3558,#e04040,Fill-Mask_2024,Natural Language Processing_2024
2024,Multiple Choice,Natural Language Processing,531,#e04040,Multiple Choice_2024,Natural Language Processing_2024
2024,Question Answering,Natural Language Processing,3450,#e04040,Question Answering_2024,Natural Language Processing_2024
2024,Sentence Similarity,Natural Language Processing,4563,#e04040,Sentence Similarity_2024,Natural Language Processing_2024
2024,Summarization,Natural Language Processing,680,#e04040,Summarization_2024,Natural Language Processing_2024
2024,Table Question Answering,Natural Language Processing,54,#e04040,Table Question Answering_2024,Natural Language Processing_2024
2024,Text Classification,Natural Language Processing,33032,#e04040,Text Classification_2024,Natural Language Processing_2024
2024,Text Generation,Natural Language Processing,117551,#e04040,Text Generation_2024,Natural Language Processing_2024
2024,Text Ranking,Natural Language Processing,111,#e04040,Text Ranking_2024,Natural Language Processing_2024
2024,Text Retrieval,Natural Language Processing,1,#e04040,Text Retrieval_2024,Natural Language Processing_2024
2024,Token Classification,Natural Language Processing,6587,#e04040,Token Classification_2024,Natural Language Processing_2024
2024,Translation,Natural Language Processing,2010,#e04040,Translation_2024,Natural Language Processing_2024
2024,Zero-Shot Classification,Natural Language Processing,137,#e04040,Zero-Shot Classification_2024,Natural Language Processing_2024
2024,Graph Machine Learning,Other,32,#8050f8,Graph Machine Learning_2024,Other_2024
2024,Other,Other,12,#8050f8,Other_2024,Other_2024
2024,Reinforcement Learning,Reinforcement Learning,16731,#f09808,Reinforcement Learning_2024,Reinforcement Learning_2024
2024,Robotics,Reinforcement Learning,243,#f09808,Robotics_2024,Reinforcement Learning_2024
2024,Tabular Classification,Tabular,89,#6058f8,Tabular Classification_2024,Tabular_2024
2024,Tabular Regression,Tabular,47,#6058f8,Tabular Regression_2024,Tabular_2024
2024,Time Series Forecasting,Tabular,74,#6058f8,Time Series Forecasting_2024,Tabular_2024
2025,Audio Classification,Audio,959,#40b880,Audio Classification_2025,Audio_2025
2025,Audio-to-Audio,Audio,163,#40b880,Audio-to-Audio_2025,Audio_2025
2025,Speech Recognition,Audio,6323,#40b880,Speech Recognition_2025,Audio_2025
2025,Text-to-Audio,Audio,1044,#40b880,Text-to-Audio_2025,Audio_2025
2025,Text-to-Speech,Audio,1403,#40b880,Text-to-Speech_2025,Audio_2025
2025,Voice Activity Detection,Audio,52,#40b880,Voice Activity Detection_2025,Audio_2025
2025,Depth Estimation,Computer Vision,79,#4078f8,Depth Estimation_2025,Computer Vision_2025
2025,Image Classification,Computer Vision,7863,#4078f8,Image Classification_2025,Computer Vision_2025
2025,Image Feature Extraction,Computer Vision,382,#4078f8,Image Feature Extraction_2025,Computer Vision_2025
2025,Image Segmentation,Computer Vision,953,#4078f8,Image Segmentation_2025,Computer Vision_2025
2025,Image-to-3D,Computer Vision,201,#4078f8,Image-to-3D_2025,Computer Vision_2025
2025,Image-to-Image,Computer Vision,1060,#4078f8,Image-to-Image_2025,Computer Vision_2025
2025,Image-to-Text,Computer Vision,4384,#4078f8,Image-to-Text_2025,Computer Vision_2025
2025,Image-to-Video,Computer Vision,409,#4078f8,Image-to-Video_2025,Computer Vision_2025
2025,Keypoint Detection,Computer Vision,32,#4078f8,Keypoint Detection_2025,Computer Vision_2025
2025,Mask Generation,Computer Vision,67,#4078f8,Mask Generation_2025,Computer Vision_2025
2025,Object Detection,Computer Vision,1309,#4078f8,Object Detection_2025,Computer Vision_2025
2025,Text-to-3D,Computer Vision,51,#4078f8,Text-to-3D_2025,Computer Vision_2025
2025,Text-to-Image,Computer Vision,46508,#4078f8,Text-to-Image_2025,Computer Vision_2025
2025,Text-to-Video,Computer Vision,658,#4078f8,Text-to-Video_2025,Computer Vision_2025
2025,Unconditional Image Generation,Computer Vision,637,#4078f8,Unconditional Image Generation_2025,Computer Vision_2025
2025,Video Classification,Computer Vision,724,#4078f8,Video Classification_2025,Computer Vision_2025
2025,Video-to-Video,Computer Vision,60,#4078f8,Video-to-Video_2025,Computer Vision_2025
2025,Zero-Shot Image Classification,Computer Vision,384,#4078f8,Zero-Shot Image Classification_2025,Computer Vision_2025
2025,Zero-Shot Object Detection,Computer Vision,52,#4078f8,Zero-Shot Object Detection_2025,Computer Vision_2025
2025,Any-to-Any,Multimodal,7600,#b85818,Any-to-Any_2025,Multimodal_2025
2025,Audio-Text-to-Text,Multimodal,118,#b85818,Audio-Text-to-Text_2025,Multimodal_2025
2025,Document Question Answering,Multimodal,34,#b85818,Document Question Answering_2025,Multimodal_2025
2025,Image-Text-to-Text,Multimodal,4921,#b85818,Image-Text-to-Text_2025,Multimodal_2025
2025,Video-Text-to-Text,Multimodal,159,#b85818,Video-Text-to-Text_2025,Multimodal_2025
2025,Visual Document Retrieval,Multimodal,88,#b85818,Visual Document Retrieval_2025,Multimodal_2025
2025,Visual Question Answering,Multimodal,154,#b85818,Visual Question Answering_2025,Multimodal_2025
2025,Feature Extraction,Natural Language Processing,5374,#e04040,Feature Extraction_2025,Natural Language Processing_2025
2025,Fill-Mask,Natural Language Processing,2551,#e04040,Fill-Mask_2025,Natural Language Processing_2025
2025,Multiple Choice,Natural Language Processing,80,#e04040,Multiple Choice_2025,Natural Language Processing_2025
2025,Question Answering,Natural Language Processing,1781,#e04040,Question Answering_2025,Natural Language Processing_2025
2025,Sentence Similarity,Natural Language Processing,6229,#e04040,Sentence Similarity_2025,Natural Language Processing_2025
2025,Summarization,Natural Language Processing,454,#e04040,Summarization_2025,Natural Language Processing_2025
2025,Table Question Answering,Natural Language Processing,33,#e04040,Table Question Answering_2025,Natural Language Processing_2025
2025,Text Classification,Natural Language Processing,31050,#e04040,Text Classification_2025,Natural Language Processing_2025
2025,Text Generation,Natural Language Processing,142919,#e04040,Text Generation_2025,Natural Language Processing_2025
2025,Text Ranking,Natural Language Processing,589,#e04040,Text Ranking_2025,Natural Language Processing_2025
2025,Text Retrieval,Natural Language Processing,23,#e04040,Text Retrieval_2025,Natural Language Processing_2025
2025,Token Classification,Natural Language Processing,4629,#e04040,Token Classification_2025,Natural Language Processing_2025
2025,Translation,Natural Language Processing,2836,#e04040,Translation_2025,Natural Language Processing_2025
2025,Zero-Shot Classification,Natural Language Processing,98,#e04040,Zero-Shot Classification_2025,Natural Language Processing_2025
2025,Graph Machine Learning,Other,57,#8050f8,Graph Machine Learning_2025,Other_2025
2025,Other,Other,76,#8050f8,Other_2025,Other_2025
2025,Reinforcement Learning,Reinforcement Learning,16339,#f09808,Reinforcement Learning_2025,Reinforcement Learning_2025
2025,Robotics,Reinforcement Learning,7334,#f09808,Robotics_2025,Reinforcement Learning_2025
2025,Tabular Classification,Tabular,151,#6058f8,Tabular Classification_2025,Tabular_2025
2025,Tabular Regression,Tabular,97,#6058f8,Tabular Regression_2025,Tabular_2025
2025,Time Series Forecasting,Tabular,460,#6058f8,Time Series Forecasting_2025,Tabular_2025
