granularity,period,sector,n_agent,openalex_ai
quarter,2025Q2,"Business, Management and Accounting",274,121416
quarter,2025Q2,Neuroscience,161,121416
quarter,2025Q3,All,3981,117538
quarter,2025Q3,Computer Science,2898,117538
quarter,2025Q3,Social Sciences,589,117538
quarter,2025Q3,Engineering,603,117538
quarter,2025Q3,Decision Sciences,429,117538
quarter,2025Q3,Medicine,358,117538
quarter,2025Q3,Psychology,252,117538
quarter,2025Q3,"Business, Management and Accounting",309,117538
quarter,2025Q3,Neuroscience,117,117538
quarter,2025Q4,All,6239,191002
quarter,2025Q4,Computer Science,5003,191002
quarter,2025Q4,Social Sciences,1380,191002
quarter,2025Q4,Engineering,974,191002
quarter,2025Q4,Decision Sciences,802,191002
quarter,2025Q4,Medicine,713,191002
quarter,2025Q4,Psychology,546,191002
quarter,2025Q4,"Business, Management and Accounting",434,191002
quarter,2025Q4,Neuroscience,312,191002
quarter,2026Q1,All,10396,259409
quarter,2026Q1,Computer Science,8830,259409
quarter,2026Q1,Social Sciences,2772,259409
quarter,2026Q1,Engineering,1322,259409
quarter,2026Q1,Decision Sciences,1244,259409
quarter,2026Q1,Medicine,1014,259409
quarter,2026Q1,Psychology,930,259409
quarter,2026Q1,"Business, Management and Accounting",509,259409
quarter,2026Q1,Neuroscience,598,259409
month,2020-01,All,76,120175
month,2020-01,Computer Science,56,120175
month,2020-01,Social Sciences,10,120175
month,2020-01,Engineering,26,120175
month,2020-01,Decision Sciences,8,120175
month,2020-01,Medicine,2,120175
month,2020-01,Psychology,5,120175
month,2020-01,"Business, Management and Accounting",4,120175
month,2020-01,Neuroscience,2,120175
month,2020-02,All,11,21937
month,2020-02,Computer Science,8,21937
month,2020-02,Social Sciences,1,21937
month,2020-02,Engineering,0,21937
month,2020-02,Decision Sciences,2,21937
month,2020-02,Medicine,0,21937
month,2020-02,Psychology,0,21937
month,2020-02,"Business, Management and Accounting",1,21937
month,2020-02,Neuroscience,0,21937
month,2020-03,All,20,25383
month,2020-03,Computer Science,15,25383
month,2020-03,Social Sciences,6,25383
month,2020-03,Engineering,7,25383
month,2020-03,Decision Sciences,0,25383
month,2020-03,Medicine,1,25383
month,2020-03,Psychology,2,25383
month,2020-03,"Business, Management and Accounting",1,25383
month,2020-03,Neuroscience,2,25383
month,2020-04,All,31,25853
month,2020-04,Computer Science,23,25853
month,2020-04,Social Sciences,7,25853
month,2020-04,Engineering,4,25853
month,2020-04,Decision Sciences,2,25853
month,2020-04,Medicine,0,25853
month,2020-04,Psychology,3,25853
month,2020-04,"Business, Management and Accounting",1,25853
month,2020-04,Neuroscience,2,25853
month,2020-05,All,29,23737
month,2020-05,Computer Science,22,23737
month,2020-05,Social Sciences,4,23737
month,2020-05,Engineering,9,23737
month,2020-05,Decision Sciences,2,23737
month,2020-05,Medicine,1,23737
month,2020-05,Psychology,1,23737
month,2020-05,"Business, Management and Accounting",2,23737
month,2020-05,Neuroscience,2,23737
month,2020-06,All,21,29008
month,2020-06,Computer Science,15,29008
month,2020-06,Social Sciences,4,29008
month,2020-06,Engineering,8,29008
month,2020-06,Decision Sciences,1,29008
month,2020-06,Medicine,0,29008
month,2020-06,Psychology,2,29008
month,2020-06,"Business, Management and Accounting",0,29008
month,2020-06,Neuroscience,1,29008
month,2020-07,All,23,28536
month,2020-07,Computer Science,15,28536
month,2020-07,Social Sciences,5,28536
month,2020-07,Engineering,5,28536
month,2020-07,Decision Sciences,0,28536
month,2020-07,Medicine,0,28536
month,2020-07,Psychology,4,28536
month,2020-07,"Business, Management and Accounting",1,28536
month,2020-07,Neuroscience,3,28536
month,2020-08,All,36,22898
month,2020-08,Computer Science,25,22898
month,2020-08,Social Sciences,11,22898
month,2020-08,Engineering,11,22898
month,2020-08,Decision Sciences,2,22898
month,2020-08,Medicine,3,22898
month,2020-08,Psychology,4,22898
month,2020-08,"Business, Management and Accounting",2,22898
month,2020-08,Neuroscience,2,22898
month,2020-09,All,22,27426
month,2020-09,Computer Science,19,27426
month,2020-09,Social Sciences,6,27426
month,2020-09,Engineering,6,27426
month,2020-09,Decision Sciences,1,27426
month,2020-09,Medicine,4,27426
month,2020-09,Psychology,5,27426
month,2020-09,"Business, Management and Accounting",1,27426
month,2020-09,Neuroscience,2,27426
month,2020-10,All,41,31832
month,2020-10,Computer Science,29,31832
month,2020-10,Social Sciences,8,31832
month,2020-10,Engineering,10,31832
month,2020-10,Decision Sciences,2,31832
month,2020-10,Medicine,1,31832
month,2020-10,Psychology,8,31832
month,2020-10,"Business, Management and Accounting",1,31832
month,2020-10,Neuroscience,3,31832
month,2020-11,All,23,28995
month,2020-11,Computer Science,19,28995
month,2020-11,Social Sciences,5,28995
month,2020-11,Engineering,3,28995
month,2020-11,Decision Sciences,1,28995
month,2020-11,Medicine,0,28995
month,2020-11,Psychology,0,28995
month,2020-11,"Business, Management and Accounting",0,28995
month,2020-11,Neuroscience,2,28995
month,2020-12,All,35,35370
month,2020-12,Computer Science,25,35370
month,2020-12,Social Sciences,3,35370
month,2020-12,Engineering,8,35370
month,2020-12,Decision Sciences,1,35370
month,2020-12,Medicine,3,35370
month,2020-12,Psychology,4,35370
month,2020-12,"Business, Management and Accounting",1,35370
month,2020-12,Neuroscience,1,35370
month,2021-01,All,81,112189
month,2021-01,Computer Science,56,112189
month,2021-01,Social Sciences,13,112189
month,2021-01,Engineering,27,112189
month,2021-01,Decision Sciences,6,112189
month,2021-01,Medicine,4,112189
month,2021-01,Psychology,8,112189
month,2021-01,"Business, Management and Accounting",6,112189
month,2021-01,Neuroscience,7,112189
month,2021-02,All,20,21912
month,2021-02,Computer Science,16,21912
month,2021-02,Social Sciences,6,21912
month,2021-02,Engineering,6,21912
month,2021-02,Decision Sciences,0,21912
month,2021-02,Medicine,3,21912
month,2021-02,Psychology,1,21912
month,2021-02,"Business, Management and Accounting",1,21912
month,2021-02,Neuroscience,1,21912
month,2021-03,All,24,29125
month,2021-03,Computer Science,20,29125
month,2021-03,Social Sciences,2,29125
month,2021-03,Engineering,10,29125
month,2021-03,Decision Sciences,0,29125
month,2021-03,Medicine,0,29125
month,2021-03,Psychology,5,29125
month,2021-03,"Business, Management and Accounting",0,29125
month,2021-03,Neuroscience,2,29125
month,2021-04,All,30,25930
month,2021-04,Computer Science,23,25930
month,2021-04,Social Sciences,7,25930
month,2021-04,Engineering,6,25930
month,2021-04,Decision Sciences,3,25930
month,2021-04,Medicine,1,25930
month,2021-04,Psychology,2,25930
month,2021-04,"Business, Management and Accounting",3,25930
month,2021-04,Neuroscience,1,25930
month,2021-05,All,55,29932
month,2021-05,Computer Science,42,29932
month,2021-05,Social Sciences,11,29932
month,2021-05,Engineering,12,29932
month,2021-05,Decision Sciences,8,29932
month,2021-05,Medicine,1,29932
month,2021-05,Psychology,3,29932
month,2021-05,"Business, Management and Accounting",0,29932
month,2021-05,Neuroscience,3,29932
month,2021-06,All,38,31199
month,2021-06,Computer Science,30,31199
month,2021-06,Social Sciences,6,31199
month,2021-06,Engineering,14,31199
month,2021-06,Decision Sciences,2,31199
month,2021-06,Medicine,3,31199
month,2021-06,Psychology,6,31199
month,2021-06,"Business, Management and Accounting",1,31199
month,2021-06,Neuroscience,4,31199
month,2021-07,All,31,28367
month,2021-07,Computer Science,26,28367
month,2021-07,Social Sciences,6,28367
month,2021-07,Engineering,7,28367
month,2021-07,Decision Sciences,3,28367
month,2021-07,Medicine,1,28367
month,2021-07,Psychology,2,28367
month,2021-07,"Business, Management and Accounting",0,28367
month,2021-07,Neuroscience,2,28367
month,2021-08,All,37,26025
month,2021-08,Computer Science,35,26025
month,2021-08,Social Sciences,11,26025
month,2021-08,Engineering,6,26025
month,2021-08,Decision Sciences,3,26025
month,2021-08,Medicine,0,26025
month,2021-08,Psychology,8,26025
month,2021-08,"Business, Management and Accounting",0,26025
month,2021-08,Neuroscience,3,26025
month,2021-09,All,36,29216
month,2021-09,Computer Science,27,29216
month,2021-09,Social Sciences,6,29216
month,2021-09,Engineering,17,29216
month,2021-09,Decision Sciences,2,29216
month,2021-09,Medicine,0,29216
month,2021-09,Psychology,5,29216
month,2021-09,"Business, Management and Accounting",2,29216
month,2021-09,Neuroscience,2,29216
month,2021-10,All,66,32145
month,2021-10,Computer Science,52,32145
month,2021-10,Social Sciences,10,32145
month,2021-10,Engineering,17,32145
month,2021-10,Decision Sciences,5,32145
month,2021-10,Medicine,4,32145
month,2021-10,Psychology,10,32145
month,2021-10,"Business, Management and Accounting",3,32145
month,2021-10,Neuroscience,5,32145
month,2021-11,All,36,28451
month,2021-11,Computer Science,27,28451
month,2021-11,Social Sciences,6,28451
month,2021-11,Engineering,12,28451
month,2021-11,Decision Sciences,5,28451
month,2021-11,Medicine,2,28451
month,2021-11,Psychology,4,28451
month,2021-11,"Business, Management and Accounting",2,28451
month,2021-11,Neuroscience,0,28451
month,2021-12,All,46,33017
month,2021-12,Computer Science,30,33017
month,2021-12,Social Sciences,7,33017
month,2021-12,Engineering,18,33017
month,2021-12,Decision Sciences,2,33017
month,2021-12,Medicine,2,33017
month,2021-12,Psychology,10,33017
month,2021-12,"Business, Management and Accounting",2,33017
month,2021-12,Neuroscience,5,33017
month,2022-01,All,94,107553
month,2022-01,Computer Science,64,107553
month,2022-01,Social Sciences,24,107553
month,2022-01,Engineering,16,107553
month,2022-01,Decision Sciences,10,107553
month,2022-01,Medicine,2,107553
month,2022-01,Psychology,16,107553
month,2022-01,"Business, Management and Accounting",10,107553
month,2022-01,Neuroscience,10,107553
month,2022-02,All,19,20582
month,2022-02,Computer Science,9,20582
month,2022-02,Social Sciences,5,20582
month,2022-02,Engineering,5,20582
month,2022-02,Decision Sciences,1,20582
month,2022-02,Medicine,0,20582
month,2022-02,Psychology,6,20582
month,2022-02,"Business, Management and Accounting",3,20582
month,2022-02,Neuroscience,3,20582
month,2022-03,All,35,28052
month,2022-03,Computer Science,27,28052
month,2022-03,Social Sciences,10,28052
month,2022-03,Engineering,8,28052
month,2022-03,Decision Sciences,3,28052
month,2022-03,Medicine,3,28052
month,2022-03,Psychology,3,28052
month,2022-03,"Business, Management and Accounting",1,28052
month,2022-03,Neuroscience,3,28052
month,2022-04,All,32,24914
month,2022-04,Computer Science,24,24914
month,2022-04,Social Sciences,7,24914
month,2022-04,Engineering,5,24914
month,2022-04,Decision Sciences,3,24914
month,2022-04,Medicine,4,24914
month,2022-04,Psychology,5,24914
month,2022-04,"Business, Management and Accounting",1,24914
month,2022-04,Neuroscience,3,24914
month,2022-05,All,46,28401
month,2022-05,Computer Science,35,28401
month,2022-05,Social Sciences,10,28401
month,2022-05,Engineering,8,28401
month,2022-05,Decision Sciences,10,28401
month,2022-05,Medicine,2,28401
month,2022-05,Psychology,5,28401
month,2022-05,"Business, Management and Accounting",0,28401
month,2022-05,Neuroscience,5,28401
month,2022-06,All,51,31668
month,2022-06,Computer Science,37,31668
month,2022-06,Social Sciences,14,31668
month,2022-06,Engineering,17,31668
month,2022-06,Decision Sciences,4,31668
month,2022-06,Medicine,2,31668
month,2022-06,Psychology,9,31668
month,2022-06,"Business, Management and Accounting",3,31668
month,2022-06,Neuroscience,4,31668
month,2022-07,All,41,28638
month,2022-07,Computer Science,25,28638
month,2022-07,Social Sciences,9,28638
month,2022-07,Engineering,7,28638
month,2022-07,Decision Sciences,2,28638
month,2022-07,Medicine,3,28638
month,2022-07,Psychology,6,28638
month,2022-07,"Business, Management and Accounting",3,28638
month,2022-07,Neuroscience,7,28638
month,2022-08,All,34,25423
month,2022-08,Computer Science,22,25423
month,2022-08,Social Sciences,5,25423
month,2022-08,Engineering,7,25423
month,2022-08,Decision Sciences,2,25423
month,2022-08,Medicine,2,25423
month,2022-08,Psychology,5,25423
month,2022-08,"Business, Management and Accounting",4,25423
month,2022-08,Neuroscience,4,25423
month,2022-09,All,36,28672
month,2022-09,Computer Science,27,28672
month,2022-09,Social Sciences,5,28672
month,2022-09,Engineering,7,28672
month,2022-09,Decision Sciences,4,28672
month,2022-09,Medicine,2,28672
month,2022-09,Psychology,4,28672
month,2022-09,"Business, Management and Accounting",1,28672
month,2022-09,Neuroscience,3,28672
month,2022-10,All,40,31904
month,2022-10,Computer Science,33,31904
month,2022-10,Social Sciences,9,31904
month,2022-10,Engineering,4,31904
month,2022-10,Decision Sciences,5,31904
month,2022-10,Medicine,2,31904
month,2022-10,Psychology,3,31904
month,2022-10,"Business, Management and Accounting",2,31904
month,2022-10,Neuroscience,1,31904
month,2022-11,All,47,30906
month,2022-11,Computer Science,37,30906
month,2022-11,Social Sciences,5,30906
month,2022-11,Engineering,13,30906
month,2022-11,Decision Sciences,4,30906
month,2022-11,Medicine,3,30906
month,2022-11,Psychology,9,30906
month,2022-11,"Business, Management and Accounting",1,30906
month,2022-11,Neuroscience,3,30906
month,2022-12,All,48,35217
month,2022-12,Computer Science,33,35217
month,2022-12,Social Sciences,9,35217
month,2022-12,Engineering,15,35217
month,2022-12,Decision Sciences,5,35217
month,2022-12,Medicine,0,35217
month,2022-12,Psychology,4,35217
month,2022-12,"Business, Management and Accounting",5,35217
month,2022-12,Neuroscience,1,35217
month,2023-01,All,135,121823
month,2023-01,Computer Science,91,121823
month,2023-01,Social Sciences,26,121823
month,2023-01,Engineering,28,121823
month,2023-01,Decision Sciences,15,121823
month,2023-01,Medicine,5,121823
month,2023-01,Psychology,17,121823
month,2023-01,"Business, Management and Accounting",6,121823
month,2023-01,Neuroscience,11,121823
month,2023-02,All,20,24394
month,2023-02,Computer Science,14,24394
month,2023-02,Social Sciences,1,24394
month,2023-02,Engineering,2,24394
month,2023-02,Decision Sciences,4,24394
month,2023-02,Medicine,0,24394
month,2023-02,Psychology,4,24394
month,2023-02,"Business, Management and Accounting",0,24394
month,2023-02,Neuroscience,3,24394
month,2023-03,All,37,34164
month,2023-03,Computer Science,25,34164
month,2023-03,Social Sciences,8,34164
month,2023-03,Engineering,11,34164
month,2023-03,Decision Sciences,0,34164
month,2023-03,Medicine,2,34164
month,2023-03,Psychology,8,34164
month,2023-03,"Business, Management and Accounting",1,34164
month,2023-03,Neuroscience,3,34164
month,2023-04,All,43,26085
month,2023-04,Computer Science,27,26085
month,2023-04,Social Sciences,11,26085
month,2023-04,Engineering,9,26085
month,2023-04,Decision Sciences,1,26085
month,2023-04,Medicine,3,26085
month,2023-04,Psychology,12,26085
month,2023-04,"Business, Management and Accounting",1,26085
