ISCO1D,ISCO2D,ISCO3D,ISCO4D,ISCO1Dname,ISCO2Dname,ISCO3Dname,ISCO4Dname,2017_Frey_autom,2018_Brynjolfsson_mSML,2020_Webb_AI,2020_Webb_robot,2020_Webb_software,2021_Felten_AIOE,2023_Felten_genAIOE,2021_Tolan_AI,2023_Gmyrek_LLM,2024_Autor_augm,2024_Autor_autom,2024_Eloundou_GPT,2024_Engberg_DAIOE,2024_Loaiza_augm,2024_Loaiza_autom,2024_Prytkova_digital,2025_Gmyrek_LLM
3,33,333,3339,Technicians and associate professionals,Business and administration associate professionals,Business service agents,Business service agents not elsewhere classified,0.33075198695740776,0.5697566412780977,0.5230683713173986,0.31035760607745044,0.3138780804150454,0.8475328035483275,0.841803733136204,0.647,0.52,0.6349029126213592,0.46285714285714286,0.8576805879189819,0.7959906005859375,0.47305278700627534,0.27408637873754155,0.9253012048192771,0.44
3,33,334,3341,Technicians and associate professionals,Business and administration associate professionals,Administrative and specialized secretaries,Office supervisors,0.08416547788873038,0.8673602080624188,0.377431906614786,0.1582360570687419,0.17898832684824903,0.7645536869340233,0.741267787839586,0.824,0.41,0.7345631067961165,0.69,0.7515683814303639,0.5412735748291015,0.7919896640826873,0.06589147286821706,0.15903614457831325,0.43
3,33,334,3342,Technicians and associate professionals,Business and administration associate professionals,Administrative and specialized secretaries,Legal secretaries,0.9529243937232525,0.9674902470741222,0.2140077821011673,0.5966277561608301,0.45395590142671854,0.7503234152652005,0.7218628719275549,0.824,0.64,0.38786407766990294,0.63,0.9535759096612296,0.9752358245849609,0.10335917312661498,0.42248062015503873,0.06506024096385542,0.55
3,33,334,3343,Technicians and associate professionals,Business and administration associate professionals,Administrative and specialized secretaries,Administrative and executive secretaries,0.5613409415121255,0.7477243172951885,0.11738002594033722,0.16796368352788588,0.304798962386511,0.739327296248383,0.6720569210866754,0.824,0.58,0.4251699029126213,0.515,0.9372647427854455,0.8573113250732421,0.5271317829457365,0.35529715762273906,0.12530120481927712,0.54
3,33,334,3344,Technicians and associate professionals,Business and administration associate professionals,Administrative and specialized secretaries,Medical secretaries,0.6854493580599144,0.9304291287386215,0.2172503242542153,0.4189364461738002,0.5045395590142672,0.8046571798188875,0.6946959896507114,0.824,0.61,0.47791262135922336,0.505,0.9642409033877039,0.963443374633789,0.648578811369509,0.37209302325581395,0.763855421686747,0.53
3,33,335,3351,Technicians and associate professionals,Business and administration associate professionals,Regulatory government associate professionals,Customs and border inspectors,0.16214931050879697,0.46293888166449937,0.3981841763942931,0.41547773454388237,0.37959360138348464,0.48253557567917205,0.48684777921517897,0.513,0.32,0.4343851132686084,0.2066666666666667,0.616060225846926,0.18985849380493164,0.23557278208441,0.21274763135228253,0.8265060240963855,0.32
3,33,335,3352,Technicians and associate professionals,Business and administration associate professionals,Regulatory government associate professionals,Government tax and excise officials,0.8174037089871612,0.7971391417425228,0.3138780804150454,0.11543450064850844,0.12062256809338522,0.9417852522639069,0.8680465717981889,0.513,0.46,0.5930582524271844,0.34,0.8983688833124216,0.9209906005859375,0.22997416020671835,0.2558139534883721,0.25783132530120484,0.49
3,33,335,3353,Technicians and associate professionals,Business and administration associate professionals,Regulatory government associate professionals,Government social benefits officials,0.3851640513552068,0.6280884265279584,0.35214007782101164,0.16277561608300906,0.18093385214007784,0.7483829236739974,0.7063389391979302,0.513,0.49,0.4958495145631067,0.30500000000000005,0.8877038895859473,0.7841981506347656,0.42377260981912146,0.2655038759689923,0.2819277108433735,0.45
3,33,335,3354,Technicians and associate professionals,Business and administration associate professionals,Regulatory government associate professionals,Government licensing officials,0.3152639087018545,0.7873862158647593,0.29831387808041504,0.36964980544747084,0.2600518806744488,0.738680465717982,0.6953428201811125,0.513,0.63,0.7089563106796117,0.495,0.8902132998745296,0.8195755004882812,0.39987080103359174,0.34431524547803616,0.5710843373493976,0.43
3,33,335,3355,Technicians and associate professionals,Business and administration associate professionals,Regulatory government associate professionals,Police inspectors and detectives,0.1868758915834522,0.47789336801040316,0.5719844357976653,0.4059662775616083,0.49546044098573283,0.5155239327296248,0.5239327296248383,0.513,0.2,0.3316019417475728,0.14,0.5445420326223338,0.30542453765869143,0.10788113695090439,0.20607235142118863,0.5277108433734939,0.23
