from,to,round,deals,value
Argentina (Else),Spain (EU),Angel,2,665800
Spain (EU),Spain (EU),Angel,11,5113986
Austria (EU),Germany (EU),Angel,2,1151537
Austria (EU),Singapore (Else),Angel,1,441673
Germany (EU),Singapore (Else),Angel,1,883346
Germany (EU),Germany (EU),Angel,2,925010
Austria (EU),Austria (EU),Angel,1,178794
Austria (EU),Austria (EU),Grant,1,135151
Austria (EU),The Netherlands (EU),Seed,1,2033694
Austria (EU),Finland (EU),Series A,1,5423368
Austria (EU),Norway (EU),Series A,1,8135053
Finland (EU),Norway (EU),Series A,1,8135053
Norway (EU),Norway (EU),Series A,2,9776052
Massachusetts (US),New York (US),Series B,33,285897307
Massachusetts (US),Norway (EU),Series B,1,15000000
New York (US),Norway (EU),Series B,1,10000000
Massachusetts (US),Massachusetts (US),Series B,27,312789846
Azerbaijan (Else),Virginia (US),Seed,1,10000
Russian Federation (Else),United Kingdom (EU),Seed,5,3300000
Belgium (EU),Belgium (EU),Seed,4,2328273
Belgium (EU),The Netherlands (EU),Seed,1,319839
The Netherlands (EU),United Kingdom (EU),Seed,29,4966661
Belgium (EU),Belgium (EU),Series A,4,11992202
Belgium (EU),California (US),Series A,7,48570046
Germany (EU),Germany (EU),Series A,23,81047129
Belgium (EU),France (EU),Series B,4,59065908
Belgium (EU),India (Else),Series B,1,8678849
Belgium (EU),Luxembourg (EU),Series B,2,15237303
Belgium (EU),The Netherlands (EU),Series B,2,11678849
France (EU),India (Else),Series B,1,5207310
France (EU),Luxembourg (EU),Series B,1,5207310
France (EU),The Netherlands (EU),Series B,2,16017668
India (Else),Luxembourg (EU),Series B,1,3471540
India (Else),The Netherlands (EU),Series B,1,3471540
Luxembourg (EU),The Netherlands (EU),Series B,1,3471540
Belgium (EU),Belgium (EU),Series B,2,11861920
France (EU),France (EU),Series B,17,139483292
Belgium (EU),Belgium (EU),Series D,1,10356715
Belgium (EU),France (EU),Series Unknown,2,12418424
Belgium (EU),Texas (US),Series Unknown,1,2403682
France (EU),Texas (US),Series Unknown,2,1727070
Belgium (EU),Belgium (EU),Series Unknown,4,66330916
Belgium (EU),California (US),Series Unknown,2,12006367
Belgium (EU),United Kingdom (EU),Series Unknown,2,7356123
California (US),United Kingdom (EU),Series Unknown,13,72355787
Luxembourg (EU),Spain (EU),Series Unknown,1,24982151
New York (US),New York (US),Private Equity,8,1790504338
Brazil (Else),Brazil (Else),Angel,3,950000
Brazil (Else),Texas (US),Angel,1,675000
Brazil (Else),Utah (US),Angel,1,675000
Texas (US),Utah (US),Angel,1,450000
Brazil (Else),Brazil (Else),Grant,1,48217
Brazil (Else),Brazil (Else),Pre Seed,2,114566
Brazil (Else),California (US),Pre Seed,1,200000
Germany (EU),New York (US),Private Equity,2,35000000
Germany (EU),Sweden (EU),Private Equity,2,35000000
Germany (EU),Venezuela (Else),Private Equity,1,10000000
New York (US),Sweden (EU),Private Equity,2,26666667
New York (US),Venezuela (Else),Private Equity,1,10000000
Sweden (EU),Venezuela (Else),Private Equity,1,10000000
Argentina (Else),Brazil (Else),Seed,3,3820000
Argentina (Else),Utah (US),Seed,1,350000
Brazil (Else),California (US),Seed,7,8317169
Brazil (Else),Florida (US),Seed,3,3109109
Brazil (Else),New York (US),Seed,5,3095238
Brazil (Else),United Kingdom (EU),Seed,2,912500
Brazil (Else),Utah (US),Seed,1,350000
California (US),Chile (Else),Seed,3,1139286
California (US),Florida (US),Seed,33,32450744
California (US),United Kingdom (EU),Seed,84,95066261
California (US),Utah (US),Seed,16,22824931
Chile (Else),Florida (US),Seed,1,350000
Chile (Else),New York (US),Seed,1,233333
Chile (Else),United Kingdom (EU),Seed,4,696381
Chile (Else),Utah (US),Seed,1,233333
Florida (US),New York (US),Seed,29,27663480
Florida (US),United Kingdom (EU),Seed,11,5236677
Florida (US),Utah (US),Seed,2,1490000
New York (US),United Kingdom (EU),Seed,58,40349599
New York (US),Utah (US),Seed,15,16338003
United Kingdom (EU),Utah (US),Seed,1,233333
Brazil (Else),Brazil (Else),Seed,9,5116791
Florida (US),Florida (US),Seed,4,1016667
Brazil (Else),Israel (Else),Seed,3,1803238
California (US),Israel (Else),Seed,14,12328591
United Kingdom (EU),United Kingdom (EU),Seed,129,101230954
Bulgaria (EU),New Jersey (US),Seed,1,26441
Bulgaria (EU),Singapore (Else),Seed,1,26441
New Jersey (US),Singapore (Else),Seed,2,526441
Brazil (Else),The Netherlands (EU),Seed,1,666667
New York (US),The Netherlands (EU),Seed,10,3140813
Czech Republic (EU),Spain (EU),Seed,1,1400000
Brazil (Else),California (US),Series A,2,2150000
Brazil (Else),United Kingdom (EU),Series A,1,1725000
California (US),United Kingdom (EU),Series A,44,292381068
United Kingdom (EU),United Kingdom (EU),Series A,28,89919408
Brazil (Else),Brazil (Else),Series A,2,3747696
New York (US),New York (US),Series A,91,297858817
California (US),Germany (EU),Series A,16,81298096
California (US),Italy (EU),Series A,2,3086282
Germany (EU),Italy (EU),Series A,1,1780477
Brazil (Else),Germany (EU),Series A,1,2250000
Brazil (Else),Washington (US),Series A,1,2250000
Germany (EU),Washington (US),Series A,1,1500000
Brazil (Else),Brazil (Else),Series B,3,7626942
Brazil (Else),Spain (EU),Series B,1,1203922
California (US),Spain (EU),Series B,4,16551961
New York (US),Spain (EU),Series B,2,3203922
Spain (EU),United Kingdom (EU),Series B,2,2735294
California (US),Germany (EU),Series B,14,153013745
California (US),Italy (EU),Series B,1,8337814
Germany (EU),Italy (EU),Series B,1,12506720
Germany (EU),Germany (EU),Series B,10,52585116
Germany (EU),Nigeria (Else),Series C,1,10000000
Brazil (Else),Brazil (Else),Series Unknown,1,34467
Italy (EU),Italy (EU),Series Unknown,5,10063069
Germany (EU),United Arab Emirates (Else),Series Unknown,2,7400000
Australia (Else),Bulgaria (EU),Seed,1,37867
Australia (Else),United Kingdom (EU),Seed,4,2125848
Bulgaria (EU),California (US),Seed,3,283682
Bulgaria (EU),United Kingdom (EU),Seed,2,79555
Bulgaria (EU),Bulgaria (EU),Seed,1,33977
Bulgaria (EU),Poland (EU),Seed,2,393010
Bulgaria (EU),New York (US),Seed,1,22755
Malta (EU),United Kingdom (EU),Angel,1,1500000
United Kingdom (EU),United Kingdom (EU),Angel,9,8348987
Canada (Else),Canada (Else),Angel,4,3451244
Canada (Else),Illinois (US),Angel,1,1000000
California (US),Colorado (US),Angel,2,1107143
Canada (Else),Canada (Else),Convertible Note,3,1013673
Canada (Else),Canada (Else),Debt Financing,3,295000000
Canada (Else),Canada (Else),Grant,2,648257
New York (US),Tennessee (US),Post IPO Debt,1,24000000
Massachusetts (US),New York (US),Post IPO Debt,2,38000000
Canada (Else),Japan (Else),Post IPO Debt,1,119077266
Canada (Else),Canada (Else),Post IPO Debt,1,59538633
Japan (Else),Japan (Else),Post IPO Debt,2,249538633
New York (US),United Kingdom (EU),Post IPO Debt,1,30000000
Canada (Else),Canada (Else),Post IPO Equity,20,817151245
Canada (Else),Georgia (US),Post IPO Equity,7,551461653
Canada (Else),New York (US),Post IPO Equity,4,477662699
Georgia (US),New York (US),Post IPO Equity,3,162434391
New York (US),New York (US),Post IPO Equity,7,495399118
Canada (Else),Texas (US),Post IPO Equity,2,112419107
New York (US),Texas (US),Post IPO Equity,1,17014286
Georgia (US),Texas (US),Post IPO Equity,1,28020655
Canada (Else),United Kingdom (EU),Post IPO Equity,1,14951766
Canada (Else),South Korea (Else),Post IPO Equity,1,5831737
California (US),New Jersey (US),Post IPO Equity,3,26914667
New Jersey (US),New York (US),Post IPO Equity,2,41900000
California (US),Canada (Else),Post IPO Equity,1,1384009
California (US),Canada (Else),Pre Seed,2,2407237
California (US),Germany (EU),Pre Seed,1,5000
Canada (Else),Germany (EU),Pre Seed,1,12500
Canada (Else),Canada (Else),Pre Seed,4,164739
California (US),New Jersey (US),Pre Seed,11,365417
Canada (Else),Texas (US),Private Equity,4,405024845
Canada (Else),Canada (Else),Private Equity,8,499814128
California (US),Canada (Else),Private Equity,1,30231735
California (US),New York (US),Private Equity,11,691557507
California (US),Texas (US),Private Equity,3,84838338
Canada (Else),New York (US),Private Equity,4,524581371
New York (US),Texas (US),Private Equity,5,289257507
New York (US),North Carolina (US),Private Equity,3,430400000
Australia (Else),Canada (Else),Private Equity,1,34543110
Australia (Else),Texas (US),Private Equity,1,23028740
Canada (Else),Delaware (US),Private Equity,1,150600000
Canada (Else),North Carolina (US),Private Equity,1,150600000
Delaware (US),New York (US),Private Equity,1,100400000
Delaware (US),North Carolina (US),Private Equity,1,100400000
California (US),Canada (Else),Seed,40,32986108
Canada (Else),Massachusetts (US),Seed,9,7342343
Canada (Else),New York (US),Seed,30,26554345
Canada (Else),Canada (Else),Seed,50,44182696
Arizona (US),California (US),Seed,9,11866190
Arizona (US),Canada (Else),Seed,2,3000000
Arizona (US),Massachusetts (US),Seed,3,1713333
Massachusetts (US),Massachusetts (US),Seed,42,34531145
Alabama (US),California (US),Seed,2,436842
Alabama (US),Canada (Else),Seed,1,789474
Alabama (US),Massachusetts (US),Seed,1,157895
Alabama (US),New York (US),Seed,1,552632
California (US),France (EU),Seed,31,23705352
California (US),Illinois (US),Seed,46,57183581
California (US),Nevada (US),Seed,30,34189430
California (US),Texas (US),Seed,67,83580216
Canada (Else),France (EU),Seed,5,1564286
Canada (Else),Illinois (US),Seed,6,4758916
Canada (Else),Nevada (US),Seed,4,1554464
Canada (Else),Texas (US),Seed,7,2737667
France (EU),Illinois (US),Seed,3,792491
France (EU),Massachusetts (US),Seed,5,1224034
France (EU),Nevada (US),Seed,2,371429
France (EU),New York (US),Seed,26,10403329
France (EU),Texas (US),Seed,3,545901
Illinois (US),Massachusetts (US),Seed,13,7557880
Illinois (US),Nevada (US),Seed,3,1374286
Illinois (US),New York (US),Seed,36,22934457
Illinois (US),Texas (US),Seed,6,2521379
Massachusetts (US),Nevada (US),Seed,3,993317
Massachusetts (US),Texas (US),Seed,15,11357926
Nevada (US),New York (US),Seed,17,8503445
Nevada (US),Texas (US),Seed,6,2169984
New York (US),Texas (US),Seed,41,27022625
Illinois (US),Illinois (US),Seed,21,11042126
Canada (Else),Chile (Else),Seed,1,285714
Canada (Else),United Kingdom (EU),Seed,6,1807258
Canada (Else),Florida (US),Seed,1,586146
California (US),Indiana (US),Seed,4,3824000
California (US),New Jersey (US),Seed,14,10810958
Canada (Else),Indiana (US),Seed,1,500000
Canada (Else),New Jersey (US),Seed,2,528571
Indiana (US),Massachusetts (US),Seed,1,250000
Indiana (US),New Jersey (US),Seed,1,250000
Indiana (US),New York (US),Seed,2,2041667
Massachusetts (US),New Jersey (US),Seed,4,806303
New Jersey (US),New York (US),Seed,5,1336874
Canada (Else),Spain (EU),Seed,1,395000
Canada (Else),Ohio (US),Seed,4,1880625
California (US),Colorado (US),Seed,20,18038556
Canada (Else),Colorado (US),Seed,7,1554090
Canada (Else),Washington (US),Seed,6,6695179
Canada (Else),Hong Kong (Else),Seed,3,4976471
Canada (Else),Germany (EU),Seed,2,540384
California (US),Canada (Else),Series A,23,113220761
California (US),Hong Kong (Else),Series A,7,24826555
California (US),Minnesota (US),Series A,2,13000000
California (US),New York (US),Series A,158,899322654
Canada (Else),Hong Kong (Else),Series A,3,5624359
Canada (Else),Minnesota (US),Series A,1,1500000
Canada (Else),New York (US),Series A,18,52350165
Hong Kong (Else),Minnesota (US),Series A,1,2250000
Hong Kong (Else),New York (US),Series A,4,9224359
Minnesota (US),New York (US),Series A,1,1500000
Hong Kong (Else),Hong Kong (Else),Series A,2,1981784
California (US),Washington (US),Series A,18,104273839
California (US),Thailand (Else),Series A,1,5866667
New York (US),Thailand (Else),Series A,1,4400000
California (US),Massachusetts (US),Series A,79,1389237707
Canada (Else),Massachusetts (US),Series A,4,13863158
California (US),South Korea (Else),Series A,7,43549236
Canada (Else),South Korea (Else),Series A,2,10177778
Canada (Else),Canada (Else),Series A,12,49962571
California (US),France (EU),Series A,15,66331216
California (US),Michigan (US),Series A,10,65489203
France (EU),Michigan (US),Series A,3,9850000
Michigan (US),Michigan (US),Series A,12,36042114
California (US),Florida (US),Series A,19,89120400
California (US),Georgia (US),Series A,11,58789801
Canada (Else),Florida (US),Series A,3,19000000
Canada (Else),Georgia (US),Series A,1,5200000
Florida (US),Georgia (US),Series A,3,9320000
Florida (US),New York (US),Series A,12,41279110
Georgia (US),New York (US),Series A,8,25426190
California (US),South Carolina (US),Series A,2,4266667
Canada (Else),South Carolina (US),Series A,2,8500000
California (US),New Jersey (US),Series A,7,47597792
France (EU),New Jersey (US),Series A,1,800000
Canada (Else),Canada (Else),Series B,8,40193460
California (US),Canada (Else),Series B,14,222193064
Canada (Else),New York (US),Series B,6,132575830
Germany (EU),Massachusetts (US),Series B,3,18791667
Germany (EU),Washington (US),Series B,1,8666667
Massachusetts (US),Washington (US),Series B,5,42466667
California (US),District of Columbia (US),Series B,13,211497229
California (US),Massachusetts (US),Series B,65,805946096
District of Columbia (US),Massachusetts (US),Series B,3,15373333
California (US),Virginia (US),Series B,14,102654762
Canada (Else),District of Columbia (US),Series B,1,1000000
Canada (Else),Virginia (US),Series B,1,1000000
District of Columbia (US),Virginia (US),Series B,5,47550000
Canada (Else),New Jersey (US),Series B,2,8428331
California (US),Illinois (US),Series C,13,118989322
Canada (Else),New Jersey (US),Series C,2,8800000
Canada (Else),New York (US),Series C,9,133576869
Canada (Else),Russian Federation (Else),Series C,1,6000000
Canada (Else),United Kingdom (EU),Series C,1,6000000
New Jersey (US),New York (US),Series C,7,84248485
New Jersey (US),Russian Federation (Else),Series C,1,6000000
New Jersey (US),United Kingdom (EU),Series C,1,6000000
New York (US),Russian Federation (Else),Series C,1,9000000
New York (US),United Kingdom (EU),Series C,10,151958073
Russian Federation (Else),United Kingdom (EU),Series C,2,12400000
New York (US),New York (US),Series C,28,487666032
California (US),Canada (Else),Series C,15,211684478
California (US),France (EU),Series C,10,191378576
California (US),Massachusetts (US),Series C,35,539284074
Canada (Else),France (EU),Series C,3,31903456
Canada (Else),Massachusetts (US),Series C,7,73865034
France (EU),Massachusetts (US),Series C,2,30580357
Canada (Else),Canada (Else),Series C,5,68009524
California (US),New York (US),Series C,71,1760894948
California (US),California (US),Series C,113,2176703561
Canada (Else),Israel (Else),Series C,1,2571429
Canada (Else),Japan (Else),Series C,1,2571429
Canada (Else),Singapore (Else),Series C,2,5260317
Israel (Else),Japan (Else),Series C,2,4028571
Israel (Else),Singapore (Else),Series C,1,1028571
Japan (Else),Singapore (Else),Series C,2,27695238
Canada (Else),Canada (Else),Series Unknown,15,92783522
California (US),Canada (Else),Series Unknown,11,68871039
California (US),Florida (US),Series Unknown,11,136013673
California (US),Massachusetts (US),Series Unknown,36,242488774
California (US),Texas (US),Series Unknown,10,223375384
Canada (Else),Florida (US),Series Unknown,2,4250000
Canada (Else),Massachusetts (US),Series Unknown,4,9665867
Canada (Else),Texas (US),Series Unknown,3,13350000
Florida (US),Massachusetts (US),Series Unknown,2,6250000
Florida (US),Texas (US),Series Unknown,1,4000000
Massachusetts (US),Texas (US),Series Unknown,4,24558077
California (US),Germany (EU),Series Unknown,11,45916853
Canada (Else),Germany (EU),Series Unknown,2,4885867
Germany (EU),Massachusetts (US),Series Unknown,4,97496392
Canada (Else),New York (US),Series Unknown,5,27583333
California (US),California (US),Series Unknown,102,747143364
Canada (Else),France (EU),Series Unknown,1,30885962
Canada (Else),Pennsylvania (US),Series Unknown,1,30885962
France (EU),Pennsylvania (US),Series Unknown,1,12354385
United Kingdom (EU),United Kingdom (EU),Series Unknown,62,276359575
Canada (Else),United Kingdom (EU),Series Unknown,1,4200000
California (US),New York (US),Series Unknown,54,724708657
Argentina (Else),Mexico (Else),Angel,1,270400
Mexico (Else),Spain (EU),Angel,1,540800
Colombia (Else),Spain (EU),Grant,1,120000
Chile (Else),Spain (EU),Grant,3,119740
Germany (EU),Massachusetts (US),Private Equity,1,25000000
Germany (EU),Mexico (Else),Private Equity,1,25000000
Massachusetts (US),Mexico (Else),Private Equity,1,16666667
Massachusetts (US),New York (US),Private Equity,6,477000000
Massachusetts (US),Sweden (EU),Private Equity,1,16666667
Mexico (Else),New York (US),Private Equity,1,16666667
Mexico (Else),Sweden (EU),Private Equity,1,16666667
Germany (EU),Germany (EU),Private Equity,1,16666667
Chile (Else),Chile (Else),Seed,4,346667
Chile (Else),Washington (US),Seed,1,120000
Chile (Else),Spain (EU),Seed,2,93040
Argentina (Else),Mexico (Else),Seed,5,995030
Chile (Else),Chile (Else),Series A,1,1800000
China (Else),Hong Kong (Else),Angel,9,4501258
China (Else),China (Else),Angel,96,67842759
California (US),China (Else),Angel,6,3591241
China (Else),New York (US),Angel,2,890373
Hong Kong (Else),New York (US),Angel,1,327873
California (US),Hong Kong (Else),Angel,2,1922500
Hong Kong (Else),Singapore (Else),Angel,1,3200000
Singapore (Else),Singapore (Else),Angel,2,2269408
China (Else),Oregon (US),Angel,1,491222
China (Else),China (Else),Post IPO Equity,2,13928705
China (Else),Hong Kong (Else),Post IPO Equity,1,1305502628
Hong Kong (Else),Hong Kong (Else),Post IPO Equity,1,870335085
New Jersey (US),Singapore (Else),Pre Seed,1,16000
California (US),California (US),Pre Seed,10,3422721
China (Else),Florida (US),Private Equity,1,32084776
China (Else),District of Columbia (US),Private Equity,2,56666667
China (Else),France (EU),Private Equity,2,56666667
District of Columbia (US),France (EU),Private Equity,2,56666667
Hong Kong (Else),New York (US),Private Equity,2,366666667
New York (US),Singapore (Else),Private Equity,1,110000000
China (Else),Hong Kong (Else),Seed,4,8556158
China (Else),China (Else),Seed,11,15562335
California (US),China (Else),Seed,15,17703038
China (Else),China (Else),Series A,45,212974474
California (US),China (Else),Series A,14,101667305
China (Else),Hong Kong (Else),Series A,5,21607199
China (Else),Singapore (Else),Series A,12,45921157
China (Else),Washington (US),Series A,1,9790000
Hong Kong (Else),Singapore (Else),Series A,2,3691795
Canada (Else),China (Else),Series A,1,6000000
California (US),Singapore (Else),Series A,13,41039560
China (Else),Japan (Else),Series A,2,6636922
New York (US),Singapore (Else),Series A,5,16501343
California (US),Taiwan (Else),Series A,4,17471565
China (Else),Taiwan (Else),Series A,3,8371565
China (Else),Massachusetts (US),Series A,2,20000000
China (Else),Hong Kong (Else),Series B,9,100857351
China (Else),China (Else),Series B,27,270440948
China (Else),Thailand (Else),Series B,1,100000000
California (US),Hong Kong (Else),Series B,8,83655238
Hong Kong (Else),United Kingdom (EU),Series B,1,6666667
California (US),China (Else),Series B,16,307401720
California (US),Texas (US),Series B,21,146421442
China (Else),Texas (US),Series B,1,28571429
Hong Kong (Else),Texas (US),Series B,1,11428571
China (Else),United Kingdom (EU),Series B,1,10000000
Hong Kong (Else),India (Else),Series B,1,21300000
China (Else),Connecticut (US),Series B,1,16000000
California (US),United Arab Emirates (Else),Series B,3,13500000
China (Else),United Arab Emirates (Else),Series B,1,7500000
California (US),France (EU),Series B,7,51412436
California (US),Singapore (Else),Series B,9,60000000
France (EU),Singapore (Else),Series B,2,10300000
Singapore (Else),United Kingdom (EU),Series B,2,10300000
China (Else),Malaysia (Else),Series B,1,18000000
China (Else),Massachusetts (US),Series B,5,50938176
China (Else),Singapore (Else),Series B,4,30263146
Massachusetts (US),Singapore (Else),Series B,3,16113146
Hong Kong (Else),Singapore (Else),Series B,2,14933902
Cayman Islands (Else),China (Else),Series C,2,71100000
China (Else),China (Else),Series C,14,171171041
China (Else),New York (US),Series C,4,60000000
China (Else),United Kingdom (EU),Series C,2,18000000
Cayman Islands (Else),Hong Kong (Else),Series C,1,17400000
China (Else),Hong Kong (Else),Series C,3,61587050
California (US),China (Else),Series C,12,224543543
California (US),United Kingdom (EU),Series C,16,264924027
United Kingdom (EU),United Kingdom (EU),Series C,8,66621701
California (US),Singapore (Else),Series C,6,137255790
California (US),Hong Kong (Else),Series C,1,25000000
China (Else),Massachusetts (US),Series C,3,60437500
California (US),Saudi Arabia (Else),Series D,2,416666667
China (Else),China (Else),Series D,1,8163484
California (US),China (Else),Series D,3,211666667
California (US),Hong Kong (Else),Series D,2,61666667
China (Else),Hong Kong (Else),Series D,2,53333333
California (US),Thailand (Else),Series D,1,25000000
California (US),Turkey (Else),Series D,1,25000000
China (Else),Thailand (Else),Series D,1,16666667
China (Else),Turkey (Else),Series D,1,16666667
Hong Kong (Else),Thailand (Else),Series D,1,16666667
Hong Kong (Else),Turkey (Else),Series D,1,16666667
Thailand (Else),Turkey (Else),Series D,1,16666667
California (US),Singapore (Else),Series D,2,61433333
Italy (EU),Singapore (Else),Series E,1,102050000
China (Else),China (Else),Series Unknown,7,660802044
California (US),China (Else),Series Unknown,5,56662364
California (US),Singapore (Else),Series Unknown,6,49145000
China (Else),Singapore (Else),Series Unknown,3,81850000
New York (US),Singapore (Else),Series Unknown,1,6666667
New York (US),United Kingdom (EU),Series Unknown,7,97766475
Singapore (Else),United Kingdom (EU),Series Unknown,2,19804703
China (Else),China (Else),Undisclosed,1,8165238
Spain (EU),Spain (EU),Seed,45,33015036
California (US),Russian Federation (Else),Series A,3,14771429
Russian Federation (Else),Russian Federation (Else),Series A,2,6000000
Czech Republic (EU),Czech Republic (EU),Angel,1,3652
Czech Republic (EU),Czech Republic (EU),Seed,1,275142
South Africa (Else),United Kingdom (EU),Post IPO Equity,1,25000000
New York (US),Spain (EU),Angel,1,500000
The Netherlands (EU),United Kingdom (EU),Angel,1,19796
California (US),Illinois (US),Angel,1,450000
Denmark (EU),Sweden (EU),Private Equity,1,53682558
Denmark (EU),Denmark (EU),Private Equity,1,35788372
Denmark (EU),Denmark (EU),Seed,7,6372230
Switzerland (EU),The Netherlands (EU),Seed,3,3289484
Switzerland (EU),United Kingdom (EU),Seed,6,3171618
Denmark (EU),Germany (EU),Series A,2,10923112
California (US),Denmark (EU),Series B,1,4695622
California (US),The Netherlands (EU),Series B,3,35027458
Denmark (EU),The Netherlands (EU),Series B,2,18795622
Denmark (EU),Denmark (EU),Series B,2,12530414
Germany (EU),Switzerland (EU),Angel,1,1760635
California (US),Estonia (EU),Pre Seed,1,12286
California (US),Massachusetts (US),Pre Seed,3,2515689
California (US),New York (US),Pre Seed,28,7258369
Estonia (EU),Massachusetts (US),Pre Seed,1,8190
Estonia (EU),New York (US),Pre Seed,1,8190
Massachusetts (US),New York (US),Pre Seed,5,1588787
Cyprus (EU),Ukraine (Else),Pre Seed,1,200000
Estonia (EU),France (EU),Seed,1,120000
Estonia (EU),Latvia (EU),Seed,1,80000
Estonia (EU),Switzerland (EU),Seed,1,80000
France (EU),Latvia (EU),Seed,1,120000
France (EU),Switzerland (EU),Seed,2,863730
Latvia (EU),Switzerland (EU),Seed,1,80000
France (EU),France (EU),Seed,47,43044617
California (US),Estonia (EU),Seed,3,3166667
California (US),Sweden (EU),Seed,6,2821141
Estonia (EU),Sweden (EU),Seed,2,734383
Estonia (EU),Texas (US),Seed,2,1666667
Sweden (EU),Texas (US),Seed,2,516667
Estonia (EU),Estonia (EU),Seed,1,500000
Estonia (EU),Luxembourg (EU),Seed,1,67717
Luxembourg (EU),Sweden (EU),Seed,1,67717
California (US),Estonia (EU),Series A,2,10986667
California (US),Finland (EU),Series A,3,16380731
Estonia (EU),Finland (EU),Series A,1,4320000
Estonia (EU),United Kingdom (EU),Series A,3,11520000
Finland (EU),United Kingdom (EU),Series A,4,16158679
Estonia (EU),Estonia (EU),Series A,2,5013333
Cayman Islands (Else),United Kingdom (EU),Series C,1,10000000
Finland (EU),Virginia (US),Seed,1,282388
Finland (EU),Finland (EU),Seed,7,10777980
California (US),Finland (EU),Seed,5,4128867
California (US),Singapore (Else),Seed,28,24436216
Finland (EU),Singapore (Else),Seed,1,250000
Finland (EU),United Kingdom (EU),Seed,6,4771778
Singapore (Else),United Kingdom (EU),Seed,6,3506607
