,Region,"AI Index (publications, patents, investments)","Compute Index (total compute, median energy efficiency)",aif_group_label,annotate_geo
119,Etelä-Suomi (FI1C),2.059936601213689,0.0,Country match,False
120,Pohjois- ja Itä-Suomi (FI1D),2.798609593755629,14.073293592808643,NUTS-2 match,True
121,Åland (FI20),0.0,0.0,Country match,False
122,Île de France (FR10),77.11139506104307,63.89338145299469,NUTS-2 match,True
123,Champagne-Ardenne (FR21),0.4213690831865165,0.0,Country match,False
124,Picardie (FR22),1.217878743818735,0.0,Country match,False
125,Haute-Normandie (FR23),0.9928069920502597,0.0,Country match,False
126,Centre (FR24),1.4093885089279918,0.0,Country match,False
127,Basse-Normandie (FR25),0.855074498941248,0.0,Country match,False
128,Bourgogne (FR26),0.7984746990149594,0.0,Country match,False
129,Nord - Pas-de-Calais (FR30),3.3382145756090456,0.0,Country match,False
130,Lorraine (FR41),2.2141667295788547,0.0,Country match,False
131,Alsace (FR42),2.585941044287502,0.0,Country match,False
132,Franche-Comté (FR43),0.8623371182190472,0.0,Country match,False
133,Pays de la Loire (FR51),2.6841982783838585,0.0,Country match,False
134,Bretagne (FR52),7.070074845972808,0.0,Country match,False
135,Poitou-Charentes (FR53),0.8916461080858427,0.0,Country match,False
136,Aquitaine (FR61),4.9686700428691095,0.0,Country match,False
137,Midi-Pyrénées (FR62),6.628645477242198,0.0,Country match,False
138,Limousin (FR63),0.27937513733251457,0.0,Country match,False
139,Rhône-Alpes (FR71),13.832067522884529,0.0,Country match,False
140,Auvergne (FR72),1.4702620930566945,0.0,Country match,False
141,Languedoc-Roussillon (FR81),2.84172624198995,0.0,Country match,False
142,Provence-Alpes-Côte d'Azur (FR82),8.827539739765644,0.0,Country match,False
143,Corse (FR83),0.11467835474533905,0.0,Country match,False
147,Jadranska Hrvatska (HR03),0.6599448864004073,0.0,No match,False
148,Kontinentalna Hrvatska (HR04),2.3921539769957154,0.0,No match,False
149,Közép-Magyarország (HU10),6.655418814564918,0.0,No match,False
150,Közép-Dunántúl (HU21),0.69241196321751,0.0,No match,False
151,Nyugat-Dunántúl (HU22),0.2857981328857127,0.0,No match,False
