status,raw_reference,existing_law,existing_kind,existing_anchor,new_law,new_kind,new_anchor,new_paragraphs
changed,"EU AI Act, Article 49 (3)",eu-ai-act,article,49-3,eu-ai-act,article,49,3
new,"EU AI Act, Article 50 (1)",,,,eu-ai-act,article,50,1
changed,"EU AI Act, Article 50 (1, 2)",eu-ai-act,article,50-1,eu-ai-act,article,50,"1,2"
changed,"EU AI Act, Article 50 (3, 4)",eu-ai-act,article,50-3,eu-ai-act,article,50,"3,4"
changed,"EU AI Act, Article 51 (1, 2)",eu-ai-act,article,51-1,eu-ai-act,article,51,"1,2"
new,"EU AI Act, Article 52",,,,eu-ai-act,article,52,
changed,"EU AI Act, Article 52 (1, 2)",eu-ai-act,article,52-1,eu-ai-act,article,52,"1,2"
changed,"EU AI Act, Article 53 (1)",eu-ai-act,article,53-1,eu-ai-act,article,53,1
changed,"EU AI Act, Article 53 (2)",eu-ai-act,article,53-2,eu-ai-act,article,53,2
changed,"EU AI Act, Article 54 (1)",eu-ai-act,article,54-1,eu-ai-act,article,54,1
changed,"EU AI Act, Article 55 (1)",eu-ai-act,article,55-1,eu-ai-act,article,55,1
changed,"EU AI Act, Article 6 (4)",eu-ai-act,article,6-4,eu-ai-act,article,6,4
changed,"EU AI Act, Article 72 (1 - 4)",eu-ai-act,article,72-1,eu-ai-act,article,72,"1,2,3,4"
changed,"EU AI Act, Article 73 (1 - 4)",eu-ai-act,article,73-1,eu-ai-act,article,73,"1,2,3,4"
changed,"EU AI Act, Article 86 (1)",eu-ai-act,article,86-1,eu-ai-act,article,86,1
changed,"EU AI Act, Article 99 (3, 4, 5)",eu-ai-act,article,99-3,eu-ai-act,article,99,"3,4,5"
changed,"EU AI Act, Article 99 (4 - 5)",eu-ai-act,article,99-4,eu-ai-act,article,99,"4,5"
new,NY A6453 §1420,,,,ny-a6453,section,1420,
new,NY A6453 §1421,,,,ny-a6453,section,1421,
new,NY A6453 §1422,,,,ny-a6453,section,1422,
new,NY S8828 §1420,,,,ny-s8828,section,1420,
changed,NY S8828 §1420(3)(a),ny-s8828,section,1420-3,ny-s8828,section,1420,3
changed,NY S8828 §1420(3)(b),ny-s8828,section,1420-3,ny-s8828,section,1420,3
changed,NY S8828 §1420(4),ny-s8828,section,1420-4,ny-s8828,section,1420,4
changed,NY S8828 §1420(6),ny-s8828,section,1420-6,ny-s8828,section,1420,6
new,"NY S8828 §1420(8), (9), (10)",,,,ny-s8828,section,1420,8
