geo,domain,count
Paris (715),G02B,44
Paris (715),G02F,15
Hong Kong (610),G06V,1
Xinzhu (619),G06K,1
Tokyo (1088),G06F,574
Tokyo (1088),Artificial Intelligence,446
 (NA),A01N,365
Gent (77),A01N,2
Sydney (50),C07K,22
Tokyo (1088),E06B,21
"Washington, D.C. (1810)",B01D,15
"Washington, D.C. (1810)",F24F,3
Antalya (1589),B62D,1
Antalya (1589),B25J,1
Kharkiv (1618),E01C,1
Melbourne (46),F01C,2
Melbourne (46),Y02T,5
Melbourne (46),F02B,6
Fort Collins (1715),G01N,11
Hiroshima (1063),G01N,7
 (NA),G09F,145
 (NA),B60J,132
 (NA),E05F,75
 (NA),B60R,456
 (NA),E05Y,121
Sydney (50),A61K,43
Sydney (50),A61P,39
Sydney (50),Y02A,6
Paris (715),A61K,314
Paris (715),A61P,286
Paris (715),Y02A,41
Paris (715),C07K,91
Sydney (50),E05Y,4
Sydney (50),E05F,4
Sydney (50),E05D,2
Sydney (50),A47K,3
Mannheim (743),G06F,97
Nice-Cannes (714),G07F,2
Nice-Cannes (714),G06Q,3
Nice-Cannes (714),G06K,6
St. Louis (1797),A43B,4
Guangzhou (283),A63B,3
s-Gravenhage (The Hague) (1224),B01D,7
Hamilton (164),Y10T,8
Hamilton (164),E04C,1
Tel Aviv-Yafo (Tel Aviv-Jaffa) (1025),A61H,7
Hefa (Haifa) (1023),A61H,3
Brisbane (42),C12Q,4
Singapore (1490),E02D,1
Palm Bay-Melbourne (1764),F16K,1
 (NA),F25D,121
Z<fc>rich (Zurich) (1543),B65D,20
Z<fc>rich (Zurich) (1543),F25D,1
Z<fc>rich (Zurich) (1543),F25B,1
M<fc>nchen (Munich) (745),H04L,219
Nagoya (1061),G07D,1
Hamilton (164),Y02P,4
Hamilton (164),C25B,1
Hamilton (164),Y02T,7
Hamilton (164),H01M,6
Hamilton (164),Y02E,7
Toronto (173),Y02P,14
Toronto (173),C25B,9
Toronto (173),Y02T,17
Toronto (173),H01M,28
Basel (1539),C08G,20
Basel (1539),Y10T,35
Basel (1539),C08J,3
 (NA),C08G,622
 (NA),C08J,386
Perth (48),G06F,8
Perth (48),G06T,1
 (NA),H01L,1087
 (NA),H05K,417
Sarajevo (87),H05F,1
Sarajevo (87),H02J,1
 (NA),B62D,268
 (NA),B61D,21
Los Angeles-Long Beach-Santa Ana (1742),F01D,10
Los Angeles-Long Beach-Santa Ana (1742),F05D,10
Los Angeles-Long Beach-Santa Ana (1742),F16B,11
Los Angeles-Long Beach-Santa Ana (1742),F16C,3
Los Angeles-Long Beach-Santa Ana (1742),F02B,5
 (NA),G06G,4
 (NA),G09B,68
Miyazaki (1076),H04M,2
Miyazaki (1076),H02J,1
San Diego (1784),H04W,315
Denver-Aurora (1707),H04W,25
Bruxelles-Brussel (75),A61B,7
Bruxelles-Brussel (75),A61C,3
Bruxelles-Brussel (75),A61F,3
Urumqi (499),B60P,1
 (NA),F16H,293
 (NA),F03G,16
Wenzhou (507),G01R,1
Dublin (1021),A63B,2
Roma (Rome) (1049),G01N,12
Roma (Rome) (1049),A61K,61
Roma (Rome) (1049),C07K,29
Stockholm (1538),G01N,39
Stockholm (1538),A61K,79
Stockholm (1538),C07K,27
Melbourne (46),C12N,32
Los Angeles-Long Beach-Santa Ana (1742),G11B,45
Los Angeles-Long Beach-Santa Ana (1742),B32B,13
Los Angeles-Long Beach-Santa Ana (1742),B29K,6
Los Angeles-Long Beach-Santa Ana (1742),B29C,16
Los Angeles-Long Beach-Santa Ana (1742),B29L,9
 (NA),G11B,259
 (NA),B32B,603
 (NA),B29K,312
 (NA),C23C,439
Brisbane (42),G06Q,14
Melbourne (46),G06Q,24
Des Moines (1708),B01J,2
Des Moines (1708),G01Q,2
Des Moines (1708),G01N,10
Des Moines (1708),C40B,1
Des Moines (1708),B82Y,2
Houston (1724),B01J,151
Houston (1724),G01Q,2
Houston (1724),G01N,78
Houston (1724),C40B,5
Houston (1724),B82Y,23
 (NA),A01G,102
Tel Aviv-Yafo (Tel Aviv-Jaffa) (1025),A01H,2
Tel Aviv-Yafo (Tel Aviv-Jaffa) (1025),A01N,11
Daejon (1379),A01N,5
Be'er Sheva (1022),B27K,2
Be'er Sheva (1022),A01N,5
 (NA),B27K,21
Minneapolis-St. Paul (1749),A23L,29
Minneapolis-St. Paul (1749),A23B,4
Rotterdam (1223),A23V,20
Rotterdam (1223),A23C,14
Jeonju (1387),A23L,4
 (NA),A23L,480
 (NA),A23V,197
Utrecht (1225),A61P,58
Utrecht (1225),A23L,25
Utrecht (1225),A61K,54
Utrecht (1225),A23V,15
Seoul (1390),A41D,6
Seoul (1390),A41F,3
M<fc>nchen (Munich) (745),A43B,4
Chicago (1694),A61B,31
Chicago (1694),A45D,7
Bridgeport-Stamford (1688),A61B,49
Bridgeport-Stamford (1688),A45D,19
New York-Newark (1758),A61B,115
New York-Newark (1758),A45D,11
Boston (1687),A61B,280
Boston (1687),A45D,3
Nanjing (405),A46D,1
 (NA),F21V,101
Seoul (1390),A47C,6
Seoul (1390),Y10T,74
 (NA),A63H,41
 (NA),A47D,14
 (NA),A47J,131
Duesseldorf (734),A46B,4
Duesseldorf (734),A47K,4
Daegu (1378),A47L,1
Tel Aviv-Yafo (Tel Aviv-Jaffa) (1025),C12Q,24
 (NA),A61B,1112
Ottawa-Gatineau (169),A61B,3
Melbourne (46),A61B,10
Hiroshima (1063),G06T,2
Tokyo (1088),G01S,53
Jerusalem (1024),A61B,23
Salt Lake City (1782),A61C,14
Z<fc>rich (Zurich) (1543),A61C,12
Kochi (1069),A61C,3
Mannheim (743),A61C,9
Mannheim (743),G16H,3
Karlsruhe (740),A61C,5
Karlsruhe (740),G16H,2
Chennai (Madras) (801),A61F,1
 (NA),C07H,139
M<fc>nchen (Munich) (745),C07H,4
M<fc>nchen (Munich) (745),A61P,124
M<fc>nchen (Munich) (745),A61K,115
Delhi (808),C07D,71
Delhi (808),A61P,71
Hyderabad (835),C07D,89
Hyderabad (835),A61P,35
Kyoto–Osaka–Kobe (1067),A61K,369
Kyoto–Osaka–Kobe (1067),A61P,440
Kyoto–Osaka–Kobe (1067),C07K,80
Tel Aviv-Yafo (Tel Aviv-Jaffa) (1025),A61K,170
Tel Aviv-Yafo (Tel Aviv-Jaffa) (1025),A61P,147
East London (Buffalo City) (1500),A61K,4
Albany (1672),A61K,21
Philadelphia (1766),A61P,371
Philadelphia (1766),A61K,332
Boston (1687),A61P,570
Boston (1687),G01N,358
Boston (1687),C07K,260
Detroit (1709),A61P,17
Detroit (1709),A61K,19
Detroit (1709),G01N,13
Detroit (1709),C07K,4
Durham (1710),A61K,118
Durham (1710),A61P,121
Buffalo (1689),C12N,9
Buffalo (1689),C07H,2
Seremban (1138),A61Q,1
Seremban (1138),A41D,3
Seremban (1138),A61L,2
Seremban (1138),A61K,1
Rouen (717),A61K,22
Rouen (717),A61Q,4
G<f6>teborg (1536),C12Q,7
G<f6>teborg (1536),G01N,16
Malm<f6> (1537),C12Q,5
Malm<f6> (1537),G01N,23
Muenster (Westfalen) (744),A61P,16
Muenster (Westfalen) (744),G01N,17
Muenster (Westfalen) (744),A61K,21
Stuttgart (747),A61P,42
Stuttgart (747),G01N,66
Stuttgart (747),A61K,35
San Jose (1786),C07D,162
San Francisco-Oakland (1785),C07D,188
Helsinki (702),A61P,33
Helsinki (702),A61K,33
Budapest (761),A61P,39
Budapest (761),A61K,27
Guangzhou (283),B01D,3
Guangzhou (283),Y10T,4
Allahabad (770),A61K,1
Allahabad (770),A61P,1
Delhi (808),A61K,82
Basel (1539),A61K,162
Basel (1539),A61P,265
Niigata (1080),A61P,5
Niigata (1080),A61K,4
Montr<e9>al (167),A61K,88
Montr<e9>al (167),C07H,5
Montr<e9>al (167),A61P,120
Montr<e9>al (167),C07K,50
Berlin (727),A61K,104
Berlin (727),Y02A,12
Boston (1687),Y02A,61
Busan (1374),B03C,2
Busan (1374),Y02A,4
G<f6>teborg (1536),A61L,22
G<f6>teborg (1536),A47K,1
Daejon (1379),A61L,4
Seoul (1390),A61L,32
Oslo (1282),A61M,4
Miami (1747),A61M,23
Seattle (1792),A61B,99
Seattle (1792),A61N,55
 (NA),A61M,582
Bern (1540),A61M,27
Swansea (1661),F25J,1
Swansea (1661),Y02C,1
Swansea (1661),A61M,1
Minneapolis-St. Paul (1749),A61F,136
Minneapolis-St. Paul (1749),A61M,159
Minneapolis-St. Paul (1749),A61B,203
Miami (1747),G01N,23
Duesseldorf (734),A61N,2
Bochum (729),A61N,1
Essen (736),A61N,3
Riverside-San Bernardino (1777),H05H,2
Riverside-San Bernardino (1777),A61N,4
Mission Viejo (1750),H05H,1
Mission Viejo (1750),A61N,11
London (1649),A61P,302
London (1649),A61K,201
Jerusalem (1024),A61P,61
Jerusalem (1024),A61K,87
 (NA),E04G,63
 (NA),A62B,50
Tel Aviv-Yafo (Tel Aviv-Jaffa) (1025),A63B,2
Chicago (1694),A63B,11
 (NA),A63B,179
Genova (Genoa) (1037),A63B,2
San Francisco-Oakland (1785),A63B,18
 (NA),A63C,40
Wien (Vienna) (52),A63C,10
 (NA),B60C,144
Reno (1775),G07F,79
 (NA),A63G,11
 (NA),B61B,19
Christchurch (1227),A63G,1
Christchurch (1227),B61B,1
Hefa (Haifa) (1023),A63B,2
Hefa (Haifa) (1023),A63H,2
Hong Kong (610),A63H,10
Luoyang (391),A63H,1
 (NA),F01B,17
Perm (1437),B01D,6
Perm (1437),B01J,3
 (NA),B01D,685
Perm (1437),C10G,2
The Woodlands (1802),B01D,12
The Woodlands (1802),A01K,2
Krasnodar (1420),B01D,1
Frankfurt am Main (737),B01D,47
Frankfurt am Main (737),Y02C,1
Perm (1437),B01F,1
 (NA),Y02P,720
New York-Newark (1758),Y02P,28
New York-Newark (1758),C01B,23
New York-Newark (1758),B01F,11
Dehradun (807),C07C,1
Dehradun (807),B01J,1
Delhi (808),C07C,15
Delhi (808),B01J,2
 (NA),B02B,6
Denver-Aurora (1707),B03D,1
Denver-Aurora (1707),C02F,7
 (NA),F21S,52
 (NA),B05B,173
 (NA),F21W,28
Bologna (1029),F21V,1
Bologna (1029),F21S,1
Bologna (1029),B05B,2
Bologna (1029),F21W,1
Perm (1437),B05B,1
 (NA),Y10S,997
 (NA),E03C,24
K<f8>benhavn (Copenhagen) (672),B07C,1
Malm<f6> (1537),B07C,1
London (1649),C05F,2
London (1649),C10L,4
London (1649),Y02W,13
London (1649),Y02P,13
London (1649),Y02E,23
London (1649),B09B,2
London (1649),F23G,2
 (NA),B21C,44
 (NA),B21B,57
 (NA),F16L,243
 (NA),E21B,318
Houston (1724),F16L,29
Houston (1724),E21B,235
Tokyo (1088),Y10T,706
Tokyo (1088),C22C,102
Tokyo (1088),B22D,23
 (NA),C22C,231
 (NA),B22D,117
Hefa (Haifa) (1023),B23B,8
Hefa (Haifa) (1023),Y10T,29
 (NA),B23B,93
 (NA),B23D,50
 (NA),B27G,9
 (NA),B23K,217
 (NA),B82Y,480
Karlsruhe (740),B23K,11
Frankfurt am Main (737),B23K,6
Kyoto–Osaka–Kobe (1067),B23Q,15
Kyoto–Osaka–Kobe (1067),B23B,7
Kyoto–Osaka–Kobe (1067),F16M,2
West Yorkshire (1663),B24B,2
 (NA),B25D,12
 (NA),F16C,221
Tampere (703),E21B,10
Tampere (703),B25D,8
Tampere (703),F16C,1
Be'er Sheva (1022),Y10T,8
Kyoto–Osaka–Kobe (1067),C08G,98
Kyoto–Osaka–Kobe (1067),B29K,25
Kyoto–Osaka–Kobe (1067),B29B,9
Kyoto–Osaka–Kobe (1067),C08J,89
Kyoto–Osaka–Kobe (1067),B29C,59
Hangzhou (298),B29C,1
Hangzhou (298),B29L,1
Muenster (Westfalen) (744),B29C,18
 (NA),G05D,89
Muenster (Westfalen) (744),G05D,1
Duisburg (735),B29K,5
Duisburg (735),B29C,6
Duisburg (735),B29L,3
Duisburg (735),Y10T,20
Duisburg (735),B60R,1
Tel Aviv-Yafo (Tel Aviv-Jaffa) (1025),B05D,3
Kyoto–Osaka–Kobe (1067),B32B,65
Kyoto–Osaka–Kobe (1067),Y10T,319
Kyoto–Osaka–Kobe (1067),H05K,117
Minneapolis-St. Paul (1749),G10K,2
Minneapolis-St. Paul (1749),B60R,2
Minneapolis-St. Paul (1749),B01D,59
Minneapolis-St. Paul (1749),B32B,48
Minneapolis-St. Paul (1749),Y10T,229
New York-Newark (1758),B41K,2
Dresden (733),G07B,2
Dresden (733),B42C,1
Dresden (733),B41P,1
Dresden (733),B41F,1
Dresden (733),B65H,2
Berlin (727),B43K,1
Eindhoven (1222),B44C,3
Eindhoven (1222),B44F,1
Eindhoven (1222),E04F,1
Ann Arbor (1675),F02B,12
Ann Arbor (1675),B60W,5
Ann Arbor (1675),F02D,9
Ann Arbor (1675),B60Y,2
Ann Arbor (1675),B60K,12
Ann Arbor (1675),Y02T,22
Detroit (1709),F02B,8
Detroit (1709),B60W,6
Detroit (1709),F02D,9
Detroit (1709),B60Y,6
Detroit (1709),B60K,16
Detroit (1709),Y02T,18
Stuttgart (747),B60R,122
Montr<e9>al (167),B60P,1
Seoul (1390),B60Q,2
Changsha (218),G08G,1
Changsha (218),B60Q,1
S<e3>o Paulo (138),F16D,3
Seoul (1390),B26B,3
Seoul (1390),B65B,7
Wien (Vienna) (52),B62K,2
Al-Qahirah (Cairo) (685),Y02T,1
Al-Qahirah (Cairo) (685),B63B,2
Krak<f3>w (Cracow) (1357),B64C,1
M<fc>nchen (Munich) (745),A01K,10
Rotterdam (1223),B65D,18
s-Gravenhage (The Hague) (1224),B65D,4
Moskva (Moscow) (1427),B65D,8
Ciudad de M<e9>xico (Mexico City) (1147),Y10T,5
Seoul (1390),B65D,50
Seoul (1390),H04N,183
Melbourne (46),B67B,1
Melbourne (46),Y10T,26
Melbourne (46),B65D,11
 (NA),A61J,87
Li<e8>ge (78),B65D,5
Li<e8>ge (78),B29C,4
 (NA),B65B,172
 (NA),B31B,31
 (NA),G08B,143
 (NA),B67D,54
 (NA),B65G,203
Tokyo (1088),B65H,28
Tel Aviv-Yafo (Tel Aviv-Jaffa) (1025),C07K,64
Tel Aviv-Yafo (Tel Aviv-Jaffa) (1025),H01L,24
Tel Aviv-Yafo (Tel Aviv-Jaffa) (1025),B82Y,17
Nagoya (1061),B82Y,13
Nagoya (1061),Y10S,51
Nagoya (1061),C01B,22
San Francisco-Oakland (1785),B82Y,52
San Francisco-Oakland (1785),C01F,2
San Francisco-Oakland (1785),C01P,5
San Francisco-Oakland (1785),C09C,2
Perth (48),B82Y,1
Perth (48),C01F,2
Perth (48),C01P,1
Perth (48),C09C,1
Treviso (1054),B01J,2
Treviso (1054),C07C,2
Treviso (1054),C07B,1
Treviso (1054),C01F,1
Berlin (727),C07C,14
Berlin (727),C01B,3
Berlin (727),C01F,1
Berlin (727),B01J,17
Berlin (727),C01P,3
Rochester (1778),Y02W,2
Rochester (1778),Y02A,5
Rochester (1778),C02F,2
 (NA),Y02W,209
 (NA),C02F,296
San Diego (1784),C02F,6
San Diego (1784),H01J,8
Virginia Beach (1808),C02F,1
Virginia Beach (1808),H01J,2
Perm (1437),C02F,1
Brisbane (42),B03D,1
Brisbane (42),C02F,8
 (NA),B03D,12
Tokyo (1088),C03B,34
Seoul (1390),C03B,6
Seoul (1390),G02F,63
Gwangju (1383),Y10T,8
Gwangju (1383),C03B,1
Gwangju (1383),G02F,4
 (NA),C03B,124
Eindhoven (1222),C03B,4
Eindhoven (1222),G02B,105
Cape Town (1498),C04B,2
Cape Town (1498),Y02W,2
Nagoya (1061),C04B,46
Jerusalem (1024),C01B,1
Jerusalem (1024),Y02E,8
 (NA),Y02E,858
Tel Aviv-Yafo (Tel Aviv-Jaffa) (1025),C01B,2
Tel Aviv-Yafo (Tel Aviv-Jaffa) (1025),Y02E,14
Hefa (Haifa) (1023),C01B,1
Hefa (Haifa) (1023),Y02E,4
Tokyo (1088),Y02P,252
Tokyo (1088),C07C,239
Kurashiki (1072),Y02P,4
Kurashiki (1072),C07C,11
Okayama (1082),Y02P,2
Okayama (1082),C07C,5
Okayama (1082),B01J,6
 (NA),C07C,770
Matsuyama (1075),C07C,8
Hyderabad (835),C07C,20
New York-Newark (1758),C07C,102
Poughkeepsie-Newburgh (1771),C07C,8
Boston (1687),C07C,44
K<f6>ln (Cologne) (741),A61P,113
K<f6>ln (Cologne) (741),C07D,106
K<f6>ln (Cologne) (741),C07C,27
K<f6>ln (Cologne) (741),G01N,184
Duesseldorf (734),A61P,94
Duesseldorf (734),C07D,83
Duesseldorf (734),C07C,30
Duesseldorf (734),G01N,26
Wuppertal (748),A61P,75
Wuppertal (748),C07D,66
Wuppertal (748),C07C,18
Wuppertal (748),G01N,165
Bruxelles-Brussel (75),A61P,89
Bruxelles-Brussel (75),C07D,42
Bruxelles-Brussel (75),C07C,33
Bruxelles-Brussel (75),G01N,17
 (NA),C07D,1593
Bielefeld (728),A61P,18
Bielefeld (728),C07D,3
Bielefeld (728),C07C,4
Bielefeld (728),G01N,22
Essen (736),A61P,56
Essen (736),C07D,31
Essen (736),C07C,21
Essen (736),G01N,161
Tampere (703),C07D,1
Tampere (703),A61P,5
Helsinki (702),C07D,13
Los Angeles-Long Beach-Santa Ana (1742),C07K,65
Basel (1539),C07D,202
Shenyang (460),A61K,4
Shenyang (460),A61P,5
Shenyang (460),C07D,3
Frankfurt am Main (737),A61P,203
Frankfurt am Main (737),C07D,167
Tokyo (1088),C07D,414
Montr<e9>al (167),C07D,58
Montr<e9>al (167),C07C,26
Roma (Rome) (1049),A61P,61
Roma (Rome) (1049),C07D,15
London (1649),C07D,167
Pune (Poona) (899),C07D,10
Mumbai (Bombay) (882),C07D,30
Singapore (1490),C07F,4
Singapore (1490),B82Y,12
Tokyo (1088),C08G,234
Tokyo (1088),A61K,718
Tokyo (1088),C07F,78
Tokyo (1088),A61Q,114
